date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:58:36	24/24	---M--	200	added ('OK')	text/plain	date:Wed,%2027%20Dec%202017%2016:58:31%20GMT	http://www.pascalvangemert.nl/robots.txt		(from )
00:58:36	50428/50428	---M-Z	200	added ('OK')	text/html	date:Wed,%2027%20Dec%202017%2016:58:31%20GMT	http://www.pascalvangemert.nl/	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/index.html	(from )
00:58:37	109518/109518	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Dec%202017%2016:58:32%20GMT	http://www.pascalvangemert.nl/view/css/bootstrap.min.css	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/css/bootstrap.min.css	(from http://www.pascalvangemert.nl/)
00:58:38	10539/10539	---M--	200	added ('OK')	text/css	date:Wed,%2027%20Dec%202017%2016:58:32%20GMT	http://www.pascalvangemert.nl/view/style.css	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/style.css	(from http://www.pascalvangemert.nl/)
00:58:39	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Wed,%2027%20Dec%202017%2016:58:34%20GMT	http://www.pascalvangemert.nl/favicon.ico	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/favicon.ico	(from http://www.pascalvangemert.nl/)
00:58:40	25361/25361	---M--	200	added ('OK')	image/png	date:Wed,%2027%20Dec%202017%2016:58:34%20GMT	http://www.pascalvangemert.nl/view/images/pascal_van_gemert.png	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/images/pascal_van_gemert.png	(from http://www.pascalvangemert.nl/)
00:58:40	1447/1447	---M--	200	added ('OK')	image/gif	date:Mon,%2006%20Nov%202017%2020:41:51%20GMT	https://www.paypalobjects.com/en_US/i/btn/btn_donate_SM.gif	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.paypalobjects.com/en_US/i/btn/btn_donate_SM.gif	(from http://www.pascalvangemert.nl/)
00:58:40	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2027%20Dec%202017%2016:58:35%20GMT	https://www.paypalobjects.com/nl_NL/i/scr/pixel.gif	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.paypalobjects.com/nl_NL/i/scr/pixel.gif	(from http://www.pascalvangemert.nl/)
00:58:46	33043/33043	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Dec%202017%2016:58:36%20GMT	http://www.pascalvangemert.nl/view/images/project_soap.jpg	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/images/project_soap.jpg	(from http://www.pascalvangemert.nl/)
00:58:46	27799/27799	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Dec%202017%2016:58:37%20GMT	http://www.pascalvangemert.nl/view/images/project_oetelspel.jpg	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/images/project_oetelspel.jpg	(from http://www.pascalvangemert.nl/)
00:58:46	51616/51616	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Dec%202017%2016:58:36%20GMT	http://www.pascalvangemert.nl/view/images/project_mals.jpg	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/images/project_mals.jpg	(from http://www.pascalvangemert.nl/)
00:58:47	4049/4049	---M--	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202017%2016:58:42%20GMT	http://www.pascalvangemert.nl/view/js/script.js	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/js/script.js	(from http://www.pascalvangemert.nl/)
00:58:51	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2027%20Dec%202017%2016:58:43%20GMT	http://www.pascalvangemert.nl/view/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/fonts/glyphicons-halflings-regular.eot	(from http://www.pascalvangemert.nl/view/css/bootstrap.min.css)
00:58:52	31819/31819	---M--	200	added ('OK')	application/javascript	date:Wed,%2027%20Dec%202017%2016:58:42%20GMT	http://www.pascalvangemert.nl/view/js/bootstrap.min.js	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/js/bootstrap.min.js	(from http://www.pascalvangemert.nl/)
00:58:54	87817/87817	---M--	200	added ('OK')	image/jpeg	date:Wed,%2027%20Dec%202017%2016:58:36%20GMT	http://www.pascalvangemert.nl/view/images/project_oranjebitter.jpg	C:/My%20Web%20Sites/http___www.pascalvangemert.nl_/www.pascalvangemert.nl/view/images/project_oranjebitter.jpg	(from http://www.pascalvangemert.nl/)
